Implementing_Agency,Total_-_GOK_Budget_Est_KES,Total_-_Loan_Budget_Est_KES,Total_-_Grant_Budget_Est_KES,Total_Budget_Supported__by_Donors_KES,Total_2013/2014_Budget_KES,OBJECTID
,0,0,3524395000,3524395000,3524395000,0
 MOEW&NR  National Environment Management Authority (NEMA),0,0,300000000,300000000,300000000,1
" Ministry of Agriculture, Livestock and Fisheries",2306364388,23354779585,8732081258,32086860843,34393225231,2
The Presidency,,0,0,0,0,3
 MOAL&F  Kenya  Plant Health Inspectorate Service (KEPHIS),0,0,66916163,66916163,66916163,4
 Ministry of Foreign Affairs,0,0,46000000,46000000,46000000,5
 MRDA  Ewaso Ngiro North Dev. Authority (ENNDA),6560292000,0,0,0,6560292000,6
 MOE&P  Kenya Electricity Transmission Company Limited (KETRACO),0,1304000000,0,1304000000,1304000000,7
 Office of The Attorney General and Department of Justice,0,0,1351905890,1351905890,1351905890,8
 State Department of Infrastructure,12270000,0,0,0,12270000,9
 Ministry of Health,23124429528,14674350000,28425220670,43099570670,66224000198,10
 MOES&T  Kimathi University of Science and Technology,48000000,0,0,0,48000000,11
 Ministry of Devolution and Planning,900797763,13292998571,40902510668,54195509239,55096307002,12
 Ministry of Information and Communications and Technology,81720851,18282437954,2248145612,20530583566,20612304417,13
 Ministry of Labour Social Security and Services,6000000,3393530747,4111094603,7504625350,7510625350,14
 Ministry of Commerce Tourism and East African Affairs,40000000,0,195400000,195400000,235400000,15
 Ministry of Industialization and Enterprise Development,231350000,0,504600000,504600000,735950000,16
 MRDA Ewaso Ngiro North Dev. Authority (ENNDA),5183640,0,0,0,5183640,17
 Ministry of Transport and Infrastructure,26249112573,149320000000,25486200000,174806000000,201055000000,18
 Ministry of Sports Culture and Arts,0,0,2095203724,2095203724,2095203724,19
 Ministry of Education,30036000000,14018084035,5475718114,19493802149,49529802149,20
 Kisiwa Technical Training Institute,12000000,0,0,0,12000000,21
 MOES&T  Embu University College,40117799,0,0,0,40117799,22
 MOES&T  South Eastern University College,29934238,0,0,0,29934238,23
 The National Treasury,27000000,6897819701,30932542738,37830362439,37857362439,24
 MOES&T  Kisii University,150000000,0,0,0,150000000,25
 MOR  Kenya National Highway Authority,2053808767,0,0,0,2053808767,26
Ministry of Devolution and Planning,0,0,120000000,120000000,120000000,27
 The Presidency,0,0,70000000,70000000,70000000,28
 Ministry of Environment Water and Natural Resources,5016544297,47914296445,13720527117,61634823562,66651367859,29
 The Judiciary,0,4542595000,52120000,4594715000,4594715000,30
 Ministry of Land Housing and Urban Development,3090284794,25301887681,1713200000,27015087681,30045372475,31
 Independent Electoral and Boundaries Commission,12004386,0,701425300,701425300,713429686,32
 Ministry of Interior and Coordination of National Government,130000000,4487618281,288710000,4776328281,4906328281,33
 MOES&T  Egerton University (EU),327010282,0,0,0,327010282,34
 MOE&P  Kenya Electricity Generating Company Ltd (KENGEN),2000000000,0,0,0,2000000000,35
 State Department for Education,4193250,0,0,0,4193250,36
 Ministry of Energy & Petroleum,619131599,129100000000,6521099528,135621000000,136240000000,37
 MOES&T  Karatina University College,80000000,0,0,0,80000000,38
 MOR  Kenya Rural Roads Authority (KERA),1315243883,0,0,0,1315243883,39
